ProteinName,Run,HP,LP,log2LP/HP
A0A0B5E2H5,1,837157549.1,730840238.5,-0.19594308887075126
A0A0B5E2H5,2,626256661.62,926823724.1,0.5655409290097411
A0A0B5E2H5,3,705506118.69,972480274.0,0.4630103914233317
A0A0R0E6P5,1,717239394.6,892863439.5,0.31598480593754513
A0A0R0E6P5,2,738885918.2,239760716.7,-1.6237563322006177
A0A0R0E6P5,3,255139168.5,780516974.5,1.6131456120823586
A0A0R0E907,1,34395380.0,6752928.2,-2.348629671254936
A0A0R0E907,2,41218534.0,58452025.0,0.5039598119135607
A0A0R0E907,3,110397544.0,103065254.5,-0.0991500256837655
A0A0R0E916,1,247311448.2,118638629.5,-1.0597551873680924
A0A0R0E916,2,230534070.0,167603423.0,-0.45992836456465
A0A0R0E916,3,249558441.2,162456370.0,-0.6193253895534889
A0A0R0EAR0,1,278648466.5,65474668.5,-2.0894374584789364
A0A0R0EAR0,2,205374440.0,52630111.0,-1.9642962986701686
A0A0R0EAR0,3,344732031.2,50974708.0,-2.7576218435711257
A0A0R0EBB0,1,805787104.1,1242712105.2,0.6250214892025826
A0A0R0EBB0,2,1243625696.0,1256616333.0,0.014991905592320337
A0A0R0EBB0,3,1274491648.0,1166402381.2,-0.1278563490909614
A0A0R0EC38,1,1087851728.5,477978613.0,-1.1864639623865434
A0A0R0EC38,2,1152713324.0,309113752.8,-1.8988240163263364
A0A0R0EC38,3,1242503526.5,279357537.0,-2.153065296981975
A0A0R0EC54,1,1952534004.5,1104697421.6,-0.8216964067155178
A0A0R0EC54,2,1968892714.0,810784173.0,-1.2799946682613288
A0A0R0EC54,3,1587807932.5,1246693890.0,-0.3489291359289605
A0A0R0EE15,1,265530211.0,230278435.0,-0.20549670195654887
A0A0R0EE15,2,219234078.4,223118398.1,0.02533740899191636
A0A0R0EE15,3,247263456.06,203923840.5,-0.2780185854633991
A0A0R0EFU3,1,722606735.0,162216076.0,-2.155293900200756
A0A0R0EFU3,2,772536013.5,140546764.8,-2.4585519438764223
A0A0R0EFU3,3,256586950.5,543925144.5,1.0839603203572643
A0A0R0EHQ4,1,1519844911.3,2246332878.5,0.5636476179404449
A0A0R0EHQ4,2,1643514213.0,2355125316.0,0.5190198947484999
A0A0R0EHQ4,3,1563918033.0,2105569070.5,0.4290453009655625
A0A0R0EJA3,1,2304449759.2,2076032736.0,-0.1505931218235481
A0A0R0EJA3,2,2095578202.4,1672747594.2,-0.32512859139543887
A0A0R0EJA3,3,1931444509.5,1741503027.8,-0.1493472482472589
A0A0R0EJP3,1,507877577.7,464076584.0,-0.13011787677297834
A0A0R0EJP3,2,480277338.2,535037911.0,0.15577338281463043
A0A0R0EJP3,3,515170412.8,524076589.5,0.024727926072941768
A0A0R0EK54,1,363552854.0,499153005.1,0.457316990762719
A0A0R0EK54,2,319652119.5,719689653.2,1.17087225735873
A0A0R0EK54,3,367025612.5,686840880.5,0.9040951669870568
A0A0R0EM38,1,664581543.0,729367302.0,0.13419929765192634
A0A0R0EM38,2,587125816.0,798585837.0,0.44377779228360464
A0A0R0EM38,3,645979376.5,680787996.5,0.07571749371894701
A0A0R0EN42,1,1292214069.5,1503247210.7,0.2182371934305198
A0A0R0EN42,2,1300437740.4,1540688883.0,0.24457823188103614
A0A0R0EN42,3,1536211810.0,1707851837.7,0.1528056755376432
A0A0R0ENM9,1,8963203305.5,5504309858.0,-0.7034527335939792
A0A0R0ENM9,2,8922924180.7,5624778640.74,-0.6657202599981279
A0A0R0ENM9,3,8339936458.6,5044690740.3,-0.7252705628461785
A0A0R0ENV4,1,293238553.12,287532301.28,-0.028350755184947
A0A0R0ENV4,2,271599936.22,483337437.0,0.8315476025391804
A0A0R0ENV4,3,190935415.56,571810873.7,1.582453329752983
A0A0R0EPH6,1,4891890207.8,7060950592.1,0.5294703969777238
A0A0R0EPH6,2,4970816169.0,6291795052.766,0.3399889271212342
A0A0R0EPH6,3,4875686000.0,6945923931.5,0.5105613934207422
A0A0R0EQG6,1,316928934.0,553414002.0,0.8041997697719561
A0A0R0EQG6,2,309003298.5,463746270.1,0.5857134397520447
A0A0R0EQG6,3,294966571.5,559413172.6,0.9233627621964459
A0A0R0ERF2,1,411684939.8,151923574.0,-1.4381949227790294
A0A0R0ERF2,2,419792750.0,387930961.0,-0.11387732807504523
A0A0R0ERF2,3,398108679.0,316368806.0,-0.33155496643115956
A0A0R0ERF9,1,58984866015.880005,51127634584.84,-0.2062415624686224
A0A0R0ERF9,2,50058019407.25,59134692802.6,0.24040356026942075
A0A0R0ERF9,3,55320785946.24,55627258893.299995,0.007970363535740207
A0A0R0ERR0,1,701394861.44,409956008.0,-0.7747577573887442
A0A0R0ERR0,2,428322411.0,302537187.5,-0.5015846773623056
A0A0R0ERR0,3,516385175.02,338133755.42,-0.610853537040574
A0A0R0EST5,1,363957943.5,4217629849.0,3.5345888285736113
A0A0R0EST5,2,52368341.8,460773601.5,3.1372912358213663
A0A0R0EST5,3,40508278760.0,16216578471.5,-1.3207473265810679
A0A0R0ETN5,1,710579130.7,1641698447.2,1.2081219289975966
A0A0R0ETN5,2,686088393.0,968158125.5,0.4968482368380288
A0A0R0ETN5,3,643636170.0,904897512.0,0.4915090003844745
A0A0R0EVU4,1,1338803302.0,3392780917.0,1.3415242591242391
A0A0R0EVU4,2,1467198660.0,3252623701.6,1.1485396991697658
A0A0R0EVU4,3,1375388246.0,3046508225.0,1.1473177138083108
A0A0R0EWS1,1,505847761.7,648911622.9,0.35931874547857795
A0A0R0EWS1,2,723638367.0,612921469.6,-0.23956666022866543
A0A0R0EWS1,3,665086358.5,436983310.4,-0.6059635000307361
A0A0R0EWX9,1,126117568.2,26092515.5,-2.273061315533757
A0A0R0EWX9,2,97081028.5,45892002.0,-1.08094664835065
A0A0R0EWX9,3,287357083.6,33481903.5,-3.1013911584258653
A0A0R0EX21,1,35099536.0,29195757.9,-0.2656931959807698
A0A0R0EX21,2,19082568.0,54782051.9,1.5214479718782232
A0A0R0EX21,3,29809411.25,45016829.2,0.5946965611755697
A0A0R0EXW6,1,940805969.4,491541917.0,-0.936582764211087
A0A0R0EXW6,2,1008861779.9,538693439.1,-0.9051921307257048
A0A0R0EXW6,3,886260907.9,506168566.6,-0.8081135609056356
A0A0R0EYI4,1,94068817.0,326430014.6,1.7949852500141477
A0A0R0EYI4,2,83613182.5,244968518.0,1.5507940325087897
A0A0R0EYI4,3,110981797.2,244341658.5,1.1385767829464504
A0A0R0F016,1,1390160557.0,1336059554.0,-0.057267200603420755
A0A0R0F016,2,1274785114.1,1391855058.0,0.1267549050324072
A0A0R0F016,3,1281240320.6,1391117629.5,0.11870331028211505
A0A0R0F0G7,1,1461908135.0,516472559.0,-1.5010890528914294
A0A0R0F0G7,2,1307460306.0,584925718.0,-1.1604418194948616
A0A0R0F0G7,3,1451700126.8,501735396.62,-1.532744844457102
A0A0R0F156,1,381888030.0,43727259.0,-3.1265448779982856
A0A0R0F156,2,386655946.0,30821200.0,-3.6490554607069106
A0A0R0F156,3,338909889.0,67677159.0,-2.3241608212535083
A0A0R0F1H5,1,1262051729.5,1238511058.5,-0.027164295042081395
A0A0R0F1H5,2,1312454262.3,1202129219.7,-0.1266751641246667
A0A0R0F1H5,3,1206593742.7,1021419501.0,-0.2403644973509438
A0A0R0F1J0,1,2051440939.8,850620797.0,-1.2700495869393904
A0A0R0F1J0,2,1910871785.8,1592232668.8,-0.2631798121813149
A0A0R0F1J0,3,1811540494.5,1260569781.5,-0.523141071783017
A0A0R0F2Z4,1,1960234037.0,4751612737.1,1.277391347908985
A0A0R0F2Z4,2,2143362568.44,6619594635.0,1.626866958143547
A0A0R0F2Z4,3,1900970357.0,6075024000.2,1.6761540729598796
A0A0R0F392,1,601601871.8,480380162.9,-0.3246324789871794
A0A0R0F392,2,587422619.5,449432449.1,-0.38629452854215657
A0A0R0F392,3,568992239.1,428887388.44,-0.40781008097201416
A0A0R0F3Q5,1,698082092.0,794261894.0,0.18621808705186335
A0A0R0F3Q5,2,620897176.0,797793952.0,0.36166181656925683
A0A0R0F3Q5,3,701324702.0,683159181.0,-0.03786076738961484
A0A0R0F3S5,1,220887580.0,159142626.0,-0.4729919914518175
A0A0R0F3S5,2,388033487.9,167853066.0,-1.2089822751267592
A0A0R0F3S5,3,445685170.65,178498864.0,-1.3201100660353748
A0A0R0F5C8,1,454276949.6,280781453.56,-0.6941244591313653
A0A0R0F5C8,2,473864246.8,364595160.0,-0.3781784035713736
A0A0R0F5C8,3,434032309.8,310861906.0,-0.4815286072290211
A0A0R0F5Q2,1,582032764.5,506916317.5,-0.19935276473227456
A0A0R0F5Q2,2,585647642.5,486601392.5,-0.2672924729746219
A0A0R0F5Q2,3,619856914.5,491581393.0,-0.3345049186454192
A0A0R0F6M9,1,1828777606.6,2998691748.6,0.7134535846095478
A0A0R0F6M9,2,1760312474.8600001,2797751228.0,0.668436139984599
